#,Country,Body,Screen,Battery,Accessories,Price,Key
141,Export,GradeB,GradeA,81-85%,CableBox,844,Export_GradeB_GradeA_81-85%_CableBox
142,Export,GradeB,GradeB,86-90%,CableBox,842,Export_GradeB_GradeB_86-90%_CableBox
143,Local,GradeB,GradeC,91-100%,None,840,Local_GradeB_GradeC_91-100%_None
144,Local,GradeC,GradeA,81-85%,Box,838,Local_GradeC_GradeA_81-85%_Box
145,Local,GradeC,GradeB,86-90%,Box,837,Local_GradeC_GradeB_86-90%_Box
146,Local,GradeA,GradeC,81-85%,None,836,Local_GradeA_GradeC_81-85%_None
147,Export,GradeA,GradeC,86-90%,None,836,Export_GradeA_GradeC_86-90%_None
148,Export,GradeC,GradeB,91-100%,CableBox,835,Export_GradeC_GradeB_91-100%_CableBox
149,Local,GradeB,GradeA,80%,Box,834,Local_GradeB_GradeA_80%_Box
150,Local,GradeB,GradeC,86-90%,CableBox,833,Local_GradeB_GradeC_86-90%_CableBox
151,Local,GradeC,GradeA,81-85%,Cable,833,Local_GradeC_GradeA_81-85%_Cable
152,Export,GradeA,GradeB,80%,CableBox,833,Export_GradeA_GradeB_80%_CableBox
153,Local,GradeC,GradeB,86-90%,Cable,832,Local_GradeC_GradeB_86-90%_Cable
154,Local,GradeA,Defective,91-100%,None,830,Local_GradeA_Defective_91-100%_None
155,Local,GradeB,GradeA,80%,Cable,829,Local_GradeB_GradeA_80%_Cable
156,Local,GradeB,GradeB,81-85%,Box,829,Local_GradeB_GradeB_81-85%_Box
157,Export,GradeB,GradeA,81-85%,Box,829,Export_GradeB_GradeA_81-85%_Box
158,Export,GradeB,GradeB,86-90%,Box,827,Export_GradeB_GradeB_86-90%_Box
159,Export,GradeC,GradeA,81-85%,CableBox,827,Export_GradeC_GradeA_81-85%_CableBox
160,Local,GradeC,GradeC,91-100%,CableBox,825,Local_GradeC_GradeC_91-100%_CableBox
161,Local,Defective,GradeA,91-100%,CableBox,825,Local_Defective_GradeA_91-100%_CableBox
162,Local,GradeA,GradeC,80%,CableBox,824,Local_GradeA_GradeC_80%_CableBox
163,Local,GradeB,GradeB,81-85%,Cable,824,Local_GradeB_GradeB_81-85%_Cable
164,Export,GradeB,GradeA,81-85%,Cable,824,Export_GradeB_GradeA_81-85%_Cable
165,Local,GradeA,Defective,86-90%,CableBox,823,Local_GradeA_Defective_86-90%_CableBox
166,Export,GradeB,GradeB,86-90%,Cable,822,Export_GradeB_GradeB_86-90%_Cable
167,Export,GradeC,GradeB,91-100%,Box,820,Export_GradeC_GradeB_91-100%_Box
168,Local,GradeB,GradeC,86-90%,Box,818,Local_GradeB_GradeC_86-90%_Box
169,Local,GradeC,GradeA,81-85%,None,818,Local_GradeC_GradeA_81-85%_None
170,Export,GradeA,GradeB,80%,Box,818,Export_GradeA_GradeB_80%_Box
171,Export,GradeA,GradeC,81-85%,CableBox,818,Export_GradeA_GradeC_81-85%_CableBox
172,Local,GradeC,GradeB,86-90%,None,817,Local_GradeC_GradeB_86-90%_None
173,Export,GradeB,GradeC,91-100%,CableBox,815,Export_GradeB_GradeC_91-100%_CableBox
174,Export,GradeC,GradeB,91-100%,Cable,815,Export_GradeC_GradeB_91-100%_Cable
175,Local,GradeB,GradeA,80%,None,814,Local_GradeB_GradeA_80%_None
176,Local,GradeB,GradeC,86-90%,Cable,813,Local_GradeB_GradeC_86-90%_Cable
177,Export,GradeA,GradeB,80%,Cable,813,Export_GradeA_GradeB_80%_Cable
178,Export,GradeC,GradeA,81-85%,Box,812,Export_GradeC_GradeA_81-85%_Box
179,Local,GradeC,GradeC,91-100%,Box,810,Local_GradeC_GradeC_91-100%_Box
180,Local,Defective,GradeA,91-100%,Box,810,Local_Defective_GradeA_91-100%_Box
181,Local,GradeA,GradeC,80%,Box,809,Local_GradeA_GradeC_80%_Box
182,Local,GradeB,GradeB,81-85%,None,809,Local_GradeB_GradeB_81-85%_None
183,Export,GradeB,GradeA,81-85%,None,809,Export_GradeB_GradeA_81-85%_None
184,Local,GradeA,Defective,86-90%,Box,808,Local_GradeA_Defective_86-90%_Box
185,Local,GradeC,GradeA,80%,CableBox,807,Local_GradeC_GradeA_80%_CableBox
186,Export,GradeB,GradeB,86-90%,None,807,Export_GradeB_GradeB_86-90%_None
187,Export,GradeC,GradeA,81-85%,Cable,807,Export_GradeC_GradeA_81-85%_Cable
188,Local,GradeC,GradeC,91-100%,Cable,805,Local_GradeC_GradeC_91-100%_Cable
189,Local,Defective,GradeA,91-100%,Cable,805,Local_Defective_GradeA_91-100%_Cable
190,Export,GradeA,Defective,91-100%,CableBox,805,Export_GradeA_Defective_91-100%_CableBox
191,Local,GradeA,GradeC,80%,Cable,804,Local_GradeA_GradeC_80%_Cable
192,Local,GradeA,Defective,86-90%,Cable,803,Local_GradeA_Defective_86-90%_Cable
193,Export,GradeA,GradeC,81-85%,Box,803,Export_GradeA_GradeC_81-85%_Box
194,Local,GradeC,GradeB,81-85%,CableBox,800,Local_GradeC_GradeB_81-85%_CableBox
195,Export,GradeB,GradeC,91-100%,Box,800,Export_GradeB_GradeC_91-100%_Box
196,Export,GradeC,GradeB,91-100%,None,800,Export_GradeC_GradeB_91-100%_None
197,Local,GradeB,GradeB,80%,CableBox,799,Local_GradeB_GradeB_80%_CableBox
198,Export,GradeB,GradeA,80%,CableBox,799,Export_GradeB_GradeA_80%_CableBox
199,Local,GradeB,GradeC,86-90%,None,798,Local_GradeB_GradeC_86-90%_None
200,Export,GradeA,GradeB,80%,None,798,Export_GradeA_GradeB_80%_None
201,Export,GradeA,GradeC,81-85%,Cable,798,Export_GradeA_GradeC_81-85%_Cable
202,Export,GradeB,GradeC,91-100%,Cable,795,Export_GradeB_GradeC_91-100%_Cable
203,Export,GradeC,GradeB,86-90%,CableBox,795,Export_GradeC_GradeB_86-90%_CableBox
204,Export,GradeC,GradeC,91-100%,CableBox,795,Export_GradeC_GradeC_91-100%_CableBox
205,Export,Defective,GradeA,91-100%,CableBox,795,Export_Defective_GradeA_91-100%_CableBox
206,Local,GradeC,GradeA,80%,Box,792,Local_GradeC_GradeA_80%_Box
207,Export,GradeC,GradeA,81-85%,None,792,Export_GradeC_GradeA_81-85%_None
208,Export,GradeB,GradeB,81-85%,CableBox,791,Export_GradeB_GradeB_81-85%_CableBox
209,Local,GradeC,GradeC,91-100%,None,790,Local_GradeC_GradeC_91-100%_None
210,Local,Defective,GradeA,91-100%,None,790,Local_Defective_GradeA_91-100%_None
211,Export,GradeA,Defective,91-100%,Box,790,Export_GradeA_Defective_91-100%_Box
212,Local,GradeA,GradeC,80%,None,789,Local_GradeA_GradeC_80%_None
213,Local,GradeA,Defective,86-90%,None,788,Local_GradeA_Defective_86-90%_None
214,Local,GradeC,GradeA,80%,Cable,787,Local_GradeC_GradeA_80%_Cable
215,Local,GradeC,GradeB,81-85%,Box,785,Local_GradeC_GradeB_81-85%_Box
216,Local,GradeC,GradeC,86-90%,CableBox,785,Local_GradeC_GradeC_86-90%_CableBox
217,Local,Defective,GradeA,86-90%,CableBox,785,Local_Defective_GradeA_86-90%_CableBox
218,Export,GradeA,Defective,91-100%,Cable,785,Export_GradeA_Defective_91-100%_Cable
219,Local,GradeB,GradeB,80%,Box,784,Local_GradeB_GradeB_80%_Box
220,Export,GradeB,GradeA,80%,Box,784,Export_GradeB_GradeA_80%_Box
221,Export,GradeA,GradeC,81-85%,None,783,Export_GradeA_GradeC_81-85%_None
222,Local,GradeB,GradeC,81-85%,CableBox,782,Local_GradeB_GradeC_81-85%_CableBox
223,Export,GradeC,GradeA,80%,CableBox,782,Export_GradeC_GradeA_80%_CableBox
224,Local,GradeC,GradeB,81-85%,Cable,780,Local_GradeC_GradeB_81-85%_Cable
225,Export,GradeB,GradeC,91-100%,None,780,Export_GradeB_GradeC_91-100%_None
226,Export,GradeC,GradeB,86-90%,Box,780,Export_GradeC_GradeB_86-90%_Box
227,Export,GradeC,GradeC,91-100%,Box,780,Export_GradeC_GradeC_91-100%_Box
228,Export,Defective,GradeA,91-100%,Box,780,Export_Defective_GradeA_91-100%_Box
229,Local,GradeB,GradeB,80%,Cable,779,Local_GradeB_GradeB_80%_Cable
230,Export,GradeB,GradeA,80%,Cable,779,Export_GradeB_GradeA_80%_Cable
231,Export,GradeB,GradeB,81-85%,Box,776,Export_GradeB_GradeB_81-85%_Box
232,Export,GradeB,GradeC,86-90%,CableBox,776,Export_GradeB_GradeC_86-90%_CableBox
233,Export,GradeC,GradeB,86-90%,Cable,775,Export_GradeC_GradeB_86-90%_Cable
234,Export,GradeC,GradeC,91-100%,Cable,775,Export_GradeC_GradeC_91-100%_Cable
235,Export,Defective,GradeA,91-100%,Cable,775,Export_Defective_GradeA_91-100%_Cable
236,Export,GradeA,GradeC,80%,CableBox,774,Export_GradeA_GradeC_80%_CableBox
237,Local,GradeA,Defective,81-85%,CableBox,773,Local_GradeA_Defective_81-85%_CableBox
238,Local,GradeC,GradeA,80%,None,772,Local_GradeC_GradeA_80%_None
